#0:Time, 1:C, 2:dC/dt, 3:eB, 4:dA/dt
2.490664350846657271e+00,1.354566507454045698e+01,-1.875495890063158880e-02,1.010736023114752746e-01,6.929113432603204448e-01
9.329570125922714396e+00,1.343168331162252294e+01,-1.206439737136033412e-02,9.903937447750817136e-02,6.947972268484827740e-01
1.845071645679541916e+01,1.324156896801273930e+01,-1.593949103552855934e-02,9.641044879876051188e-02,6.821441982464752085e-01
2.983847155883626101e+01,1.320415400202634615e+01,-1.761327915827352181e-02,9.325847454900787481e-02,6.813774864142994048e-01
3.782370820668688793e+01,1.297582862932407188e+01,-6.633119853613824411e-03,9.113135994475340951e-02,6.807852379610770388e-01
4.351888840642629930e+01,1.293805181647127078e+01,-8.863646647673998832e-03,8.965475826279796501e-02,6.777647040778042031e-01
4.921406860616582435e+01,1.290027500361847146e+01,-1.179093416934451875e-02,8.821101502463243871e-02,6.740145510231312365e-01
5.946851932262262608e+01,1.278651034882038218e+01,-1.039701433749336962e-02,8.569200436906096452e-02,6.711016022226684585e-01
6.858445505861919855e+01,1.267267332464901131e+01,-7.469726815822880922e-03,8.353678221897460621e-02,6.693538904441430626e-01
7.769778549717756277e+01,1.259697496019684593e+01,-8.863646647674043935e-03,8.145839513743638460e-02,6.654964558267003616e-01
8.339296569691703098e+01,1.255919814734404660e+01,-8.305802356060203173e-03,8.019704349500593465e-02,6.650490429895766775e-01
9.022926617455493670e+01,1.248335504414531982e+01,-1.016353600038914090e-02,7.871997251073993562e-02,6.601177941375900859e-01
9.706296135475457731e+01,1.244565060066580031e+01,-1.155798725421238946e-02,7.728280827618429216e-02,6.578982405095512576e-01
1.073200173686495873e+02,1.229374728614850554e+01,-4.121384534579423768e-03,7.519723481805727638e-02,6.583062178162735201e-01
1.118766825879287694e+02,1.225589810392242107e+01,-2.328420986158588266e-03,7.429749850648982579e-02,6.587279667426968466e-01
1.175692574902301999e+02,1.225625995078882724e+01,-6.513370229611402037e-03,7.319599495528693323e-02,6.556662318624312258e-01
1.255414676508900698e+02,1.221862787668259109e+01,-4.121384534579279786e-03,7.169444514660207324e-02,6.573018429197740042e-01
1.346547980894485477e+02,1.214292951223042571e+01,-3.075595931640663031e-03,7.003492114959022907e-02,6.554652536525946704e-01
1.414858879722101506e+02,1.214336372847011170e+01,-5.719278652612942368e-03,6.882959335240734777e-02,6.540529517031864470e-01
1.050377768128527691e+02,1.236987986684035512e+01,-6.765067255551558689e-03,7.565400023120941175e-02,6.597737245236603432e-01
1.483169778549717535e+02,1.214379794470980123e+01,-8.903793046045216375e-03,6.765636523481166620e-02,6.520677184017311667e-01
1.528736430742509924e+02,1.210594876248371854e+01,-4.718843802592558728e-03,6.689118964521707789e-02,6.547468923012134123e-01
1.608484585323490705e+02,1.203017802865827512e+01,-4.121384534579234683e-03,6.558473539584323830e-02,6.521045617890740553e-01
1.665410334346503873e+02,1.203053987552467952e+01,-4.121384534579234683e-03,6.467702705942354746e-02,6.530339809374779980e-01
1.756543638732088652e+02,1.195484151107251591e+01,-2.029508275627068224e-03,6.326570891632751770e-02,6.519952734723962751e-01
1.813469387755101820e+02,1.195520335793892031e+01,-2.029508275626978886e-03,6.240958194726262814e-02,6.528731112534456038e-01
1.904576639166304517e+02,1.191764365320596575e+01,-2.726933280756173045e-03,6.107883699388815674e-02,6.512528489177136226e-01
1.984272687798523407e+02,1.191815023881893332e+01,-2.726933280756047712e-03,5.995340944137149408e-02,6.524086716070084391e-01
2.052609639600521518e+02,1.188044579533941381e+01,6.356470887359329160e-05,5.901621486109452641e-02,6.538740975681438528e-01
2.143690838037343269e+02,1.188102475032566474e+01,-4.121384534579233816e-03,5.780579952913555281e-02,6.509343009558250515e-01
2.212001736864959298e+02,1.188145896656535072e+01,-4.121384534579102844e-03,5.692615150683771885e-02,6.518400019525041333e-01
2.303135041250542940e+02,1.180576060211318712e+01,6.356470887369095111e-05,5.578898158481460090e-02,6.526202192508503419e-01
