#0: p value, 1: 1st Root, 2: 2nd Root, 3: 3rd Root
0.000000000000000000e+00,4.495139827210466876e+01,3.382985492812726203e-03,1.966213219626181900e-03
1.000000000000000056e-01,4.495139745162801148e+01,3.341065272397101670e-03,1.962287250073455058e-03
2.000000000000000111e-01,4.495139650364460948e+01,3.298902370682938595e-03,1.958731468493386026e-03
3.000000000000000444e-01,4.495139542815496014e+01,3.256462840875922176e-03,1.955579821300950250e-03
4.000000000000000222e-01,4.495139422515936189e+01,3.213708007917664370e-03,1.952870983177340753e-03
5.000000000000000000e-01,4.495139289465824106e+01,3.170593477549160134e-03,1.950649348006527070e-03
5.999999999999999778e-01,4.495139143665192449e+01,3.127067859715886022e-03,1.948966305470225613e-03
6.999999999999999556e-01,4.495138985114083141e+01,3.083071098700601240e-03,1.947881910915007318e-03
7.999999999999999334e-01,4.495138813812532419e+01,3.038532250918513002e-03,1.947467107557131205e-03
8.999999999999999112e-01,4.495138629760571547e+01,2.993366469200141756e-03,1.947806742199766116e-03
9.999999999999998890e-01,4.495138432958244579e+01,2.947470817120646097e-03,1.949003750903610275e-03
