#0:Time, 1:C, 2:dC/dt, 3:eB, 4:dA/dt
2.490664350846657271e+00,1.354566507454045698e+01,-1.875495890063158880e-02,1.006303492796021826e-01,6.933545962921936479e-01
9.329570125922714396e+00,1.343168331162252294e+01,-1.206439737136033412e-02,9.861384918496547691e-02,6.952227521410254685e-01
1.845071645679541916e+01,1.324156896801273930e+01,-1.593949103552855934e-02,9.600747133825988933e-02,6.825471757069757617e-01
2.983847155883626101e+01,1.320415400202634615e+01,-1.761327915827352181e-02,9.288197236881512442e-02,6.817539885944920997e-01
3.782370820668688793e+01,1.297582862932407188e+01,-6.633119853613824411e-03,9.077236713378510069e-02,6.811442307720453337e-01
4.351888840642629930e+01,1.293805181647127078e+01,-8.863646647673998832e-03,8.930774496466040158e-02,6.781117173759417804e-01
4.921406860616582435e+01,1.290027500361847146e+01,-1.179093416934451875e-02,8.787557227432749030e-02,6.743499937734361849e-01
5.946851932262262608e+01,1.278651034882038218e+01,-1.039701433749336962e-02,8.537640277311926706e-02,6.714172038186101421e-01
6.858445505861919855e+01,1.267267332464901131e+01,-7.469726815822880922e-03,8.323779453071913914e-02,6.696528781323985990e-01
7.769778549717756277e+01,1.259697496019684593e+01,-8.863646647674043935e-03,8.117510086522869428e-02,6.657797500989079964e-01
8.339296569691703098e+01,1.255919814734404660e+01,-8.305802356060203173e-03,7.992311120625314458e-02,6.653229752783293982e-01
9.022926617455493670e+01,1.248335504414531982e+01,-1.016353600038914090e-02,7.845684305287227434e-02,6.603809235954577472e-01
9.706296135475457731e+01,1.244565060066580031e+01,-1.155798725421238946e-02,7.703001953843637006e-02,6.581510292472991797e-01
1.073200173686495873e+02,1.229374728614850554e+01,-4.121384534579423768e-03,7.495914402654635378e-02,6.585443086077844566e-01
1.118766825879287694e+02,1.225589810392242107e+01,-2.328420986158588266e-03,7.406563258577812670e-02,6.589598326634085179e-01
1.175692574902301999e+02,1.225625995078882724e+01,-6.513370229611402037e-03,7.297165204650560288e-02,6.558905747712125978e-01
1.255414676508900698e+02,1.221862787668259109e+01,-4.121384534579279786e-03,7.148017984769008959e-02,6.575161082186860018e-01
1.346547980894485477e+02,1.214292951223042571e+01,-3.075595931640663031e-03,6.983154802763150149e-02,6.556686267745533980e-01
1.414858879722101506e+02,1.214336372847011170e+01,-5.719278652612942368e-03,6.863396440478486404e-02,6.542485806508089308e-01
1.050377768128527691e+02,1.236987986684035512e+01,-6.765067255551558689e-03,7.541272224792890111e-02,6.600150025069407844e-01
1.483169778549717535e+02,1.214379794470980123e+01,-8.903793046045216375e-03,6.746813519822450478e-02,6.522559484383183559e-01
1.528736430742509924e+02,1.210594876248371854e+01,-4.718843802592558728e-03,6.670770945661864959e-02,6.549303724898118961e-01
1.608484585323490705e+02,1.203017802865827512e+01,-4.121384534579234683e-03,6.540922334674834082e-02,6.522800738381688834e-01
1.665410334346503873e+02,1.203053987552467952e+01,-4.121384534579234683e-03,6.450694337686685431e-02,6.532040646200347744e-01
1.756543638732088652e+02,1.195484151107251591e+01,-2.029508275627068224e-03,6.310388442507969264e-02,6.521570979636441834e-01
1.813469387755101820e+02,1.195520335793892031e+01,-2.029508275626978886e-03,6.225265735389095417e-02,6.530300358468172917e-01
1.904576639166304517e+02,1.191764365320596575e+01,-2.726933280756173045e-03,6.092935809611789433e-02,6.514023278154839058e-01
1.984272687798523407e+02,1.191815023881893332e+01,-2.726933280756047712e-03,5.981006046848204999e-02,6.525520205798979179e-01
2.052609639600521518e+02,1.188044579533941381e+01,6.356470887359329160e-05,5.887785001497457954e-02,6.540124624142638066e-01
2.143690838037343269e+02,1.188102475032566474e+01,-4.121384534579233816e-03,5.767370453332527902e-02,6.510663959516352906e-01
2.212001736864959298e+02,1.188145896656535072e+01,-4.121384534579102844e-03,5.679849106993658386e-02,6.519676623894052891e-01
2.303135041250542940e+02,1.180576060211318712e+01,6.356470887369095111e-05,5.566689670290386055e-02,6.527423041327611308e-01
2.371445940078157832e+02,1.180619481835287488e+01,6.356470887362568214e-05,5.484489456441809380e-02,6.535903592456279165e-01
2.439756838905774998e+02,1.180662903459256263e+01,-2.029508275627047841e-03,5.404468814657818754e-02,6.523235456533484911e-01
2.485297438124185305e+02,1.180691851208568721e+01,-2.029508275627048709e-03,5.352303990615565887e-02,6.528625625433583934e-01
2.576404689535388002e+02,1.176935880735273088e+01,6.356470887365818110e-05,5.250708075786896661e-02,6.537180123921686459e-01
2.621945288753799446e+02,1.176964828484585546e+01,6.356470887374177309e-05,5.201273426059836724e-02,6.542297275390266398e-01
2.713026487190620060e+02,1.177022723983210639e+01,-2.328420986158732681e-03,5.105021824691482329e-02,6.528349951568528375e-01
2.792722535822840086e+02,1.177073382544507574e+01,-2.328420986158776917e-03,5.023584794934089076e-02,6.536797605912048059e-01
2.872444637429439922e+02,1.173310175133883604e+01,6.356470887357164822e-05,4.944635984467030815e-02,6.546033099445334180e-01
2.929370386452453090e+02,1.173346359820524221e+01,-5.515304366430512188e-03,4.889758557651352477e-02,6.495949259493705163e-01
3.009066435084673117e+02,1.173397018381820978e+01,-5.515304366430484433e-03,4.814965795945721355e-02,6.503732487032048981e-01
3.077429439861049900e+02,1.165812708061948477e+01,-2.726933280756191260e-03,4.752650985304694015e-02,6.492341817033658868e-01
3.122970039079461344e+02,1.165841655811260935e+01,-2.726933280756190826e-03,4.712059832857368874e-02,6.496574618774265675e-01
3.191306990881458319e+02,1.162071211463308984e+01,6.356470887362580412e-05,4.652498072598570261e-02,6.507813108608733188e-01
3.282388189318280070e+02,1.162129106961933900e+01,4.852230869684023493e-03,4.575561556573826821e-02,6.563740794811060431e-01
3.350699088145896098e+02,1.162172528585902676e+01,-7.266382056199940584e-04,4.519641507312961715e-02,6.513804638727919150e-01
3.430343030829353097e+02,1.169850919091040709e+01,-5.515304366430196469e-03,4.456313481439873325e-02,6.518321122737954498e-01
3.498706035605731017e+02,1.162266608771168208e+01,6.356470887375594903e-05,4.403515639379614738e-02,6.533883735777785695e-01
3.532861485019538463e+02,1.162288319583152685e+01,-1.331950301002190118e-03,4.377664030689589619e-02,6.522644011419934662e-01
3.623942683456361351e+02,1.162346215081777601e+01,-1.331950301002385274e-03,4.310400767921063886e-02,6.529717710688535126e-01
3.760590534085974355e+02,1.158619192357794603e+01,2.157835446154914971e-03,4.213900770078544272e-02,6.551903431600460959e-01
3.806131133304385799e+02,1.158648140107106883e+01,4.832812876562687151e-04,4.182875661672869755e-02,6.538434087351917556e-01
3.897186278766825467e+02,1.162519901577652526e+01,-1.610989449625242157e-03,4.122485279427165472e-02,6.546760987026946088e-01
4.011063829787233885e+02,1.158778404979013210e+01,6.356470887357178374e-05,4.049940172217977169e-02,6.548312059741017155e-01
4.124915327833261358e+02,1.158850774352294444e+01,-1.797003727018336083e-03,3.980588811519965992e-02,6.537075727691586957e-01
4.204611376465480248e+02,1.158901432913591201e+01,-1.797003727018308111e-03,3.933858280685910425e-02,6.542052732142773497e-01
4.307103777681284669e+02,1.155152699377623726e+01,-2.726933280756145290e-03,3.875874867646585814e-02,6.516059376693521532e-01
4.398184976118106420e+02,1.155210594876248642e+01,-2.726933280756047278e-03,3.826272931042847686e-02,6.521366943345646705e-01
4.466521927920104531e+02,1.151440150528296691e+01,6.356470887359369818e-05,3.790207008141189410e-02,6.530255849444397409e-01
4.557603126356925145e+02,1.151498046026921784e+01,-4.121384534579084630e-03,3.743620298090748894e-02,6.493412401006665169e-01
4.625914025184541174e+02,1.151541467650890382e+01,-4.121384534579058609e-03,3.709759509280342871e-02,6.497059009631517279e-01
4.671480677377333564e+02,1.147756549428282291e+01,6.356470887371727012e-05,3.687673413566134456e-02,6.518407602301816706e-01
4.785332175423361036e+02,1.147828918801563347e+01,-1.797003727018138325e-03,3.634189550658489115e-02,6.505584520473349786e-01
4.853643074250975928e+02,1.147872340425532300e+01,-1.797003727018311580e-03,3.603230362573232870e-02,6.508940969025687195e-01
4.956135475466783760e+02,1.144123606889564648e+01,6.356470887351731614e-05,3.558312745476130412e-02,6.509546013878508841e-01
5.058601823708206098e+02,1.144188739325517723e+01,6.356470887359291213e-05,3.515180935501680676e-02,6.514249989491673887e-01
5.126912722535823832e+02,1.144232160949486321e+01,6.356470887359316963e-05,3.487377309195363595e-02,6.517290881866117935e-01
