#0: p value, 1: 1st Root, 2: 2nd Root, 3: 3rd Root
0.000000000000000000e+00,1.064162491414260501e+02,1.078257919822131136e-02,3.196214710781958204e-03
1.000000000000000056e-01,1.064162553174099912e+02,1.074559537341793734e-02,3.190355885041145159e-03
2.000000000000000111e-01,1.064162614137264171e+02,1.070868149526906475e-02,3.184506780031173909e-03
3.000000000000000444e-01,1.064162674303756830e+02,1.067183726110039650e-02,3.178667698316909977e-03
4.000000000000000222e-01,1.064162733673576895e+02,1.063506236376594860e-02,3.172838946935331670e-03
5.000000000000000000e-01,1.064162792246727349e+02,1.059835649157912438e-02,3.167020837464316202e-03
5.999999999999999778e-01,1.064162850023207483e+02,1.056171932824260043e-02,3.161213686092889923e-03
6.999999999999999556e-01,1.064162907003019995e+02,1.052515055277661142e-02,3.155417813692913600e-03
7.999999999999999334e-01,1.064162963186164177e+02,1.048864983944537005e-02,3.149633545892416113e-03
8.999999999999999112e-01,1.064163018572641732e+02,1.045221685768284864e-02,3.143861213150313770e-03
9.999999999999998890e-01,1.064163073162456072e+02,1.041585127201565854e-02,3.138101150833008321e-03
