#0:Time, 1:C, 2:dC/dt, 3:eB, 4:dA/dt
2.490664350846657271e+00,1.354566507454045698e+01,-1.875495890063158880e-02,9.926104973914684493e-02,8.076044381204861011e-01
9.329570125922714396e+00,1.343168331162252294e+01,-1.206439737136033412e-02,9.681339110108756751e-02,8.089539044884244134e-01
1.845071645679541916e+01,1.324156896801273930e+01,-1.593949103552855934e-02,9.367295822420472484e-02,7.952280968878038259e-01
2.983847155883626101e+01,1.320415400202634615e+01,-1.761327915827352181e-02,8.994252894669846343e-02,7.947280487001615601e-01
3.782370820668688793e+01,1.297582862932407188e+01,-6.633119853613824411e-03,8.744713234718637374e-02,7.926013708030112959e-01
4.351888840642629930e+01,1.293805181647127078e+01,-8.863646647673998832e-03,8.572561480077263429e-02,7.895109460104234866e-01
4.921406860616582435e+01,1.290027500361847146e+01,-1.179093416934451875e-02,8.405108335326842706e-02,7.856767743913158908e-01
5.946851932262262608e+01,1.278651034882038218e+01,-1.039701433749336962e-02,8.115039811696270200e-02,7.821974613816032873e-01
6.858445505861919855e+01,1.267267332464901131e+01,-7.469726815822880922e-03,7.869035884079540744e-02,7.798059248610640370e-01
7.769778549717756277e+01,1.259697496019684593e+01,-8.863646647674043935e-03,7.633756484969307643e-02,7.755920774494172720e-01
8.339296569691703098e+01,1.255919814734404660e+01,-8.305802356060203173e-03,7.491926537873096204e-02,7.749868056670520255e-01
9.022926617455493670e+01,1.248335504414531982e+01,-1.016353600038914090e-02,7.326781486669294019e-02,7.695979104828479800e-01
9.706296135475457731e+01,1.244565060066580031e+01,-1.155798725421238946e-02,7.167091904486207199e-02,7.672238847464217804e-01
1.073200173686495873e+02,1.229374728614850554e+01,-4.121384534579423768e-03,6.937140541404807070e-02,7.665799412715202932e-01
1.118766825879287694e+02,1.225589810392242107e+01,-2.328420986158588266e-03,6.838604724826036207e-02,7.667719022002797979e-01
1.175692574902301999e+02,1.225625995078882724e+01,-6.513370229611402037e-03,6.718531384142314988e-02,7.638124125662019148e-01
1.255414676508900698e+02,1.221862787668259109e+01,-4.121384534579279786e-03,6.555859700734577300e-02,7.652595900313852173e-01
1.346547980894485477e+02,1.214292951223042571e+01,-3.075595931640663031e-03,6.377461097159764503e-02,7.629166430991740633e-01
1.414858879722101506e+02,1.214336372847011170e+01,-5.719278652612942368e-03,6.248824192321509458e-02,7.615890008696295510e-01
1.050377768128527691e+02,1.236987986684035512e+01,-6.765067255551558689e-03,6.987319033545705271e-02,7.686368666430822838e-01
1.483169778549717535e+02,1.214379794470980123e+01,-8.903793046045216375e-03,6.124386942433521219e-02,7.596785304181226106e-01
1.528736430742509924e+02,1.210594876248371854e+01,-4.718843802592558728e-03,6.043648370335310410e-02,7.620845045971084142e-01
1.608484585323490705e+02,1.203017802865827512e+01,-4.121384534579234683e-03,5.906575746768735757e-02,7.588750232893821668e-01
1.665410334346503873e+02,1.203053987552467952e+01,-4.121384534579234683e-03,5.811929186370325823e-02,7.598462150959039985e-01
1.756543638732088652e+02,1.195484151107251591e+01,-2.029508275627068224e-03,5.665754255457871452e-02,7.582271190930828242e-01
1.813469387755101820e+02,1.195520335793892031e+01,-2.029508275626978886e-03,5.577677571417068852e-02,7.591326121360285617e-01
1.904576639166304517e+02,1.191764365320596575e+01,-2.726933280756173045e-03,5.441687383759578195e-02,7.572285091840557092e-01
1.984272687798523407e+02,1.191815023881893332e+01,-2.726933280756047712e-03,5.327567486952410059e-02,7.584043248356803213e-01
2.052609639600521518e+02,1.188044579533941381e+01,6.356470887359329160e-05,5.233171439710797984e-02,7.595623129932922435e-01
2.143690838037343269e+02,1.188102475032566474e+01,-4.121384534579233816e-03,5.112133373394384117e-02,7.566273063370638763e-01
2.212001736864959298e+02,1.188145896656535072e+01,-4.121384534579102844e-03,5.024806074423143060e-02,7.575302507698217225e-01
2.303135041250542940e+02,1.180576060211318712e+01,6.356470887369095111e-05,4.912725722257792194e-02,7.576632819640302108e-01
2.371445940078157832e+02,1.180619481835287488e+01,6.356470887362568214e-05,4.831908556053426951e-02,7.585011250691191531e-01
2.439756838905774998e+02,1.180662903459256263e+01,-2.029508275627047841e-03,4.753729856722491848e-02,7.572195105209731381e-01
2.485297438124185305e+02,1.180691851208568721e+01,-2.029508275627048709e-03,4.703033884252685176e-02,7.577462512077013379e-01
2.576404689535388002e+02,1.176935880735273088e+01,6.356470887365818110e-05,4.604918674315112981e-02,7.582538964681591054e-01
2.621945288753799446e+02,1.176964828484585546e+01,6.356470887374177309e-05,4.557479447108377796e-02,7.587480697022566112e-01
2.713026487190620060e+02,1.177022723983210639e+01,-2.328420986158732681e-03,4.465692905800443951e-02,7.573135113443640876e-01
2.792722535822840086e+02,1.177073382544507574e+01,-2.328420986158776917e-03,4.388645187884460119e-02,7.581186052070767456e-01
2.872444637429439922e+02,1.173310175133883604e+01,6.356470887357164822e-05,4.314500286616031882e-02,7.586805148508670715e-01
2.929370386452453090e+02,1.173346359820524221e+01,-5.515304366430512188e-03,4.263287303795132432e-02,7.536385018063096464e-01
3.009066435084673117e+02,1.173397018381820978e+01,-5.515304366430484433e-03,4.193927761228059825e-02,7.543667139155333379e-01
3.077429439861049900e+02,1.165812708061948477e+01,-2.726933280756191260e-03,4.136534425699303630e-02,7.525464063045822494e-01
3.122970039079461344e+02,1.165841655811260935e+01,-2.726933280756190826e-03,4.099345827230941458e-02,7.529380732512960250e-01
3.191306990881458319e+02,1.162071211463308984e+01,6.356470887362580412e-05,4.045063011422412452e-02,7.536949290945772484e-01
3.282388189318280070e+02,1.162129106961933900e+01,4.852230869684023493e-03,3.975459598444140014e-02,7.592191913092307676e-01
3.350699088145896098e+02,1.162172528585902676e+01,-7.266382056199940584e-04,3.925241693948849225e-02,7.541721727219250493e-01
3.430343030829353097e+02,1.169850919091040709e+01,-5.515304366430196469e-03,3.868758719767617649e-02,7.551952364814380481e-01
3.498706035605731017e+02,1.162266608771168208e+01,6.356470887375594903e-05,3.821989257828471709e-02,7.560591881242206824e-01
3.532861485019538463e+02,1.162288319583152685e+01,-1.331950301002190118e-03,3.799197943474684480e-02,7.549064219794051622e-01
3.623942683456361351e+02,1.162346215081777601e+01,-1.331950301002385274e-03,3.740238327170818111e-02,7.555355800665041199e-01
3.760590534085974355e+02,1.158619192357794603e+01,2.157835446154914971e-03,3.656534560150246499e-02,7.573156046224787108e-01
3.806131133304385799e+02,1.158648140107106883e+01,4.832812876562687151e-04,3.629850799175360354e-02,7.559276690357591422e-01
3.897186278766825467e+02,1.162519901577652526e+01,-1.610989449625242157e-03,3.578236869482819688e-02,7.569952412669425090e-01
4.011063829787233885e+02,1.158778404979013210e+01,6.356470887357178374e-05,3.516818572897571771e-02,7.567272890488901949e-01
4.124915327833261358e+02,1.158850774352294444e+01,-1.797003727018336083e-03,3.458719349426884332e-02,7.554971652527807668e-01
4.204611376465480248e+02,1.158901432913591201e+01,-1.797003727018308111e-03,3.419920519863870606e-02,7.559197702319636614e-01
4.307103777681284669e+02,1.155152699377623726e+01,-2.726933280756145290e-03,3.372182075680838637e-02,7.529055905371448976e-01
4.398184976118106420e+02,1.155210594876248642e+01,-2.726933280756047278e-03,3.331708493653745551e-02,7.533498882814764208e-01
4.466521927920104531e+02,1.151440150528296691e+01,6.356470887359369818e-05,3.302496408176937986e-02,7.538560368214403118e-01
4.557603126356925145e+02,1.151498046026921784e+01,-4.121384534579084630e-03,3.265039603125213102e-02,7.500852175525654086e-01
4.625914025184541174e+02,1.151541467650890382e+01,-4.121384534579058609e-03,3.238015033807419701e-02,7.503851346887885354e-01
4.671480677377333564e+02,1.147756549428282291e+01,6.356470887371727012e-05,3.220480693083466184e-02,7.521590665540318632e-01
4.785332175423361036e+02,1.147828918801563347e+01,-1.797003727018138325e-03,3.178329767120673111e-02,7.507694597828433736e-01
4.853643074250975928e+02,1.147872340425532300e+01,-1.797003727018311580e-03,3.154136044770717434e-02,7.510410684493882272e-01
4.956135475466783760e+02,1.144123606889564648e+01,6.356470887351731614e-05,3.119309725079890544e-02,7.506882654992770298e-01
5.058601823708206098e+02,1.144188739325517723e+01,6.356470887359291213e-05,3.086183523877582269e-02,7.510640346758682417e-01
5.126912722535823832e+02,1.144232160949486321e+01,6.356470887359316963e-05,3.064998132823150076e-02,7.513055600294578085e-01
5.217993920972644446e+02,1.144290056448111415e+01,6.356470887361250909e-05,3.037822915857477449e-02,7.516168741231749051e-01
5.286304819800261612e+02,1.144333478072080013e+01,6.356470887369301110e-05,3.018216370835798482e-02,7.518426110164370124e-01
5.400156317846287948e+02,1.144405847445361424e+01,6.356470887356278486e-05,2.986950896265388664e-02,7.522047181672166793e-01
5.548163265306122867e+02,1.144499927630626956e+01,6.356470887360105720e-05,2.948807663690898931e-02,7.526504386195596030e-01
5.718940512375163507e+02,1.144608481690548629e+01,6.356470887374914567e-05,2.908073294271340536e-02,7.531319609213685817e-01
5.844177160225792704e+02,1.144688088001158022e+01,0.000000000000000000e+00,2.880277956835389924e-02,7.534007472324374399e-01
5.992184107685627623e+02,1.144782168186423910e+01,0.000000000000000000e+00,2.849536896533434380e-02,7.537724459620552819e-01
