#0:Time, 1:C, 2:dC/dt, 3:eB, 4:dA/dt
2.490664350846657271e+00,5.863924274692838168e+01,-8.119029827113272146e-02,8.300980211820492560e-02,6.485398040830897548e-01
9.329570125922714396e+00,5.814581520182909458e+01,-5.222682844744722108e-02,8.163562828487079537e-02,6.720385419650333203e-01
1.845071645679541916e+01,5.732280938533652659e+01,-6.900212569492870929e-02,7.984963636542240228e-02,6.456423760204131890e-01
2.983847155883626101e+01,5.716083983561188120e+01,-7.624796172412773299e-02,7.769266763126154995e-02,6.383086107661913866e-01
3.782370820668688793e+01,5.617241830876221087e+01,-2.871480456109894164e-02,7.622696043017107570e-02,6.736079527681742007e-01
4.351888840642629930e+01,5.600888232238644804e+01,-3.837076470854564741e-02,7.520453102424566605e-02,6.627078132554850010e-01
4.921406860616582435e+01,5.584534633601069231e+01,-5.104300506209764193e-02,7.420079999935347281e-02,6.487726951556570532e-01
5.946851932262262608e+01,5.535285865290207852e+01,-4.500872007572844641e-02,7.243958845101675093e-02,6.497423124024777064e-01
6.858445505861919855e+01,5.486005768246324266e+01,-3.233647972217722211e-02,7.092231364423241813e-02,6.571016061125309893e-01
7.769778549717756277e+01,5.453235913505127996e+01,-3.837076470854611232e-02,6.944962402150432756e-02,6.479981088817603485e-01
8.339296569691703098e+01,5.436882314867551713e+01,-3.595585435523885459e-02,6.855113981690555414e-02,6.490448946684983511e-01
9.022926617455493670e+01,5.404049802660311030e+01,-4.399799134367629594e-02,6.749430335367771761e-02,6.375090079513651142e-01
9.706296135475457731e+01,5.387727532755756954e+01,-5.003457685806159128e-02,6.646101398299124330e-02,6.302434451988951913e-01
1.073200173686495873e+02,5.321968522142208968e+01,-1.784149149168538784e-02,6.495241932995139689e-02,6.548309263472734676e-01
1.118766825879287694e+02,5.305583594771610478e+01,-1.007974452882534101e-02,6.429815125373432305e-02,6.609759904527856555e-01
1.175692574902301999e+02,5.305740238436720801e+01,-2.819640792039537769e-02,6.349424268732568877e-02,6.436849464396084963e-01
1.255414676508900698e+02,5.289449297265190353e+01,-1.784149149168505824e-02,6.239304333056791552e-02,6.528831377787024381e-01
