#0:Time, 1:C, 2:dC/dt, 3:eB, 4:dA/dt
2.490664350846657271e+00,1.954641424897612367e+01,-2.706343275704404389e-02,9.822907987340848135e-02,6.874473918419748975e-01
9.329570125922714396e+00,1.938193840060969819e+01,-1.740894281581585601e-02,9.630728029735056983e-02,6.921847755841848970e-01
1.845071645679541916e+01,1.910760312844550768e+01,-2.300070856497635902e-02,9.382143304613931034e-02,6.776719964696485965e-01
2.983847155883626101e+01,1.905361327853729136e+01,-2.541598724137587861e-02,9.083758360432434009e-02,6.759956692758805064e-01
3.782370820668688793e+01,1.872413943625406674e+01,-9.571601520366315036e-03,8.882173740273444085e-02,6.801563788363435004e-01
4.351888840642629930e+01,1.866962744079548031e+01,-1.279025490284859540e-02,8.742130189160533804e-02,6.760715521938223116e-01
4.921406860616582435e+01,1.861511544533689388e+01,-1.701433502069909370e-02,8.605115612611982656e-02,6.709510090702893725e-01
5.946851932262262608e+01,1.845095288430069047e+01,-1.500290669190941679e-02,8.365842655413371909e-02,6.685292876831797626e-01
6.858445505861919855e+01,1.828668589415441303e+01,-1.077882657405896880e-02,8.160902454039102583e-02,6.679725483644907147e-01
7.769778549717756277e+01,1.817745304501709214e+01,-1.279025490284885908e-02,7.963066622913850257e-02,6.633975764798233365e-01
8.339296569691703098e+01,1.812294104955850571e+01,-1.198528478507979167e-02,7.842902259798413545e-02,6.631375814575788397e-01
9.022926617455493670e+01,1.801349934220103322e+01,-1.466599711455850510e-02,7.702088380598652584e-02,6.573144217281741142e-01
9.706296135475457731e+01,1.795909177585252081e+01,-1.667819228602061832e-02,7.564974002042851309e-02,6.544111037334987557e-01
1.073200173686495873e+02,1.773989507380736441e+01,-5.947163830562159949e-03,7.365807235158346178e-02,6.580196009867645968e-01
1.118766825879287694e+02,1.768527864923870041e+01,-3.359914842941884132e-03,7.279813208403584923e-02,6.591958393083675594e-01
1.175692574902301999e+02,1.768580079478906697e+01,-9.398802640131662459e-03,7.174474484478222946e-02,6.542320495624156518e-01
1.255414676508900698e+02,1.763149765755063214e+01,-5.947163830561642134e-03,7.030768856072562578e-02,6.568628202096681301e-01
1.346547980894485477e+02,1.752226480841331124e+01,-4.438089367446938424e-03,6.871792387855185646e-02,6.554197574878266597e-01
1.414858879722101506e+02,1.752289138307375183e+01,-8.252927348647900660e-03,6.756222982352734496e-02,6.527866665360314569e-01
1.050377768128527691e+02,1.784975449760512944e+01,-9.762001811762604370e-03,7.409446773553463039e-02,6.583363224631241239e-01
1.483169778549717535e+02,1.752351795773419596e+01,-1.284818621362919522e-02,6.643645253752485103e-02,6.493432379314340031e-01
1.528736430742509924e+02,1.746890153316553551e+01,-6.809298416439416024e-03,6.570175509953705972e-02,6.538458722330466877e-01
1.608484585323490705e+02,1.735956425491814414e+01,-5.947163830561694176e-03,6.444646021889778587e-02,6.514170576700369919e-01
1.665410334346503873e+02,1.736008640046851070e+01,-5.947163830561694176e-03,6.357362792252989336e-02,6.523116007783892334e-01
1.756543638732088652e+02,1.725085355133118981e+01,-2.928583370313234298e-03,6.221541224186720453e-02,6.521464950521704829e-01
1.813469387755101820e+02,1.725137569688155637e+01,-2.928583370313145393e-03,6.139081301147374103e-02,6.529928050945483786e-01
1.904576639166304517e+02,1.719717698875319556e+01,-3.934968659099859385e-03,6.010801332748136327e-02,6.510156372057767094e-01
1.984272687798523407e+02,1.719790799252371016e+01,-3.934968659099636473e-03,5.902209460420201198e-02,6.521319510658343255e-01
2.052609639600521518e+02,1.714350042617519776e+01,9.172396662844844312e-05,5.811705021495056772e-02,6.548014214720426773e-01
2.143690838037343269e+02,1.714433585905578994e+01,-5.947163830561522438e-03,5.694711526087321146e-02,6.499672059281050851e-01
2.212001736864959298e+02,1.714496243371623052e+01,-5.947163830561521571e-03,5.609612517234084661e-02,6.508442489910186701e-01
2.303135041250542940e+02,1.703572958457891318e+01,9.172396662844863285e-05,5.499502156545163500e-02,6.534423385279680696e-01
2.371445940078157832e+02,1.703635615923935376e+01,9.172396662870829927e-05,5.419456417278401689e-02,6.542688488950171299e-01
2.439756838905774998e+02,1.703698273389979789e+01,-2.928583370313117204e-03,5.341482774759411661e-02,6.520543309576465330e-01
2.485297438124185305e+02,1.703740045034009398e+01,-2.928583370313118505e-03,5.290624965267735902e-02,6.525802777021507683e-01
2.576404689535388002e+02,1.698320174221172962e+01,9.172396662870829927e-05,5.191510761957141007e-02,6.543381447882211654e-01
2.621945288753799446e+02,1.698361945865202571e+01,9.172396662870829927e-05,5.143252407172559798e-02,6.548380969856544276e-01
2.713026487190620060e+02,1.698445489153261789e+01,-3.359914842941969133e-03,5.049230575672913196e-02,6.523614137902552512e-01
2.792722535822840086e+02,1.698518589530313605e+01,-3.359914842941968266e-03,4.969615818131248308e-02,6.531879565024500955e-01
2.872444637429439922e+02,1.693088275806469412e+01,9.172396662870805533e-05,4.892375408464759434e-02,6.551540749623112614e-01
2.929370386452453090e+02,1.693140490361506423e+01,-7.958592159351355472e-03,4.838650744882272425e-02,6.476627162841404051e-01
3.009066435084673117e+02,1.693213590738558239e+01,-7.958592159351355472e-03,4.765381849965479727e-02,6.484258003700864581e-01
3.077429439861049900e+02,1.682269420002811344e+01,-3.934968659099702393e-03,4.704293896210053061e-02,6.485097172159688395e-01
3.122970039079461344e+02,1.682311191646840953e+01,-3.934968659099897549e-03,4.664480438252414235e-02,6.489252204451324557e-01
3.191306990881458319e+02,1.676870435011989713e+01,9.172396662851344104e-05,4.606028419273740238e-02,6.512741666518764294e-01
3.282388189318280070e+02,1.676953978300048576e+01,7.001776146730201260e-03,4.530468523039140466e-02,6.589745550934991147e-01
3.350699088145896098e+02,1.677016635766092989e+01,-1.048539979249468214e-03,4.475507584773227854e-02,6.514999013245598158e-01
3.430343030829353097e+02,1.688096564344935757e+01,-7.958592159350959955e-03,4.413222206066031578e-02,6.498197372346131706e-01
3.498706035605731017e+02,1.677152393609189218e+01,9.172396662870867874e-05,4.361257263623323499e-02,6.538391165930964588e-01
3.532861485019538463e+02,1.677183722342211425e+01,-1.922006206352340355e-03,4.335801108141796451e-02,6.520929744621212221e-01
3.623942683456361351e+02,1.677267265630270643e+01,-1.922006206352730451e-03,4.269527690615040894e-02,6.527904459365634349e-01
3.760590534085974355e+02,1.671889166461463816e+01,3.113759662561259127e-03,4.174345664191023153e-02,6.565418184353276621e-01
3.806131133304385799e+02,1.671930938105493070e+01,6.973755954636094885e-04,4.143717762928263160e-02,6.544490820304450507e-01
